,File_ID,project,path,area,relative_path,filename,ext,lines,Initial Author,Latest Author,Most Frequent Author,Unique Authors,Initial Commit,Latest Commit,Total Commits,Total Inserts,Total Deletes
517,517,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\ProjectAsset.cs,ProjectAsset.cs,.cs,198,Brett V. Forsgren,Osvaldo Calles,Brett V. Forsgren,1,,,1,0,0
518,518,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\ProjectAssetLoader.cs,ProjectAssetLoader.cs,.cs,26,Brett V. Forsgren,Jon Sequeira,Brett V. Forsgren,1,,,1,0,0
519,519,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\ProjectFilePackageDiscoveryStrategy.cs,ProjectFilePackageDiscoveryStrategy.cs,.cs,33,Brett V. Forsgren,Jon Sequeira,Brett V. Forsgren,1,,,1,0,0
520,520,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\RebuildablePackage.cs,RebuildablePackage.cs,.cs,131,Brett V. Forsgren,Jon Sequeira,Brett V. Forsgren,1,,,1,0,0
521,521,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\RuntimeConfig.cs,RuntimeConfig.cs,.cs,24,Brett V. Forsgren,Jon Sequeira,Brett V. Forsgren,1,,,1,0,0
522,522,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Project.cs,Project.cs,.cs,16,Diego Colombo,Brett V. Forsgren,Brett V. Forsgren,1,,,1,0,0
523,523,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\ProjectDiagnostics.cs,ProjectDiagnostics.cs,.cs,21,Brett V. Forsgren,Diego Colombo,Brett V. Forsgren,1,,,1,0,0
524,524,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\ProjectFile.cs,ProjectFile.cs,.cs,26,Diego Colombo,Osvaldo Calles,Brett V. Forsgren,1,,,1,0,0
525,525,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\ProjectFileContent.cs,ProjectFileContent.cs,.cs,21,Jon Sequeira,Jon Sequeira,Jon Sequeira,1,,,1,0,0
526,526,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\ProjectItem.cs,ProjectItem.cs,.cs,28,Brett V. Forsgren,Diego Colombo,Brett V. Forsgren,1,,,1,0,0
527,527,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\RelativeDirectoryPath.cs,RelativeDirectoryPath.cs,.cs,64,Brett V. Forsgren,Osvaldo Calles,Brett V. Forsgren,1,,,1,0,0
528,528,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\RelativeFilePath.cs,RelativeFilePath.cs,.cs,106,Brett V. Forsgren,Osvaldo Calles,Brett V. Forsgren,1,,,1,0,0
529,529,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\RelativePath.cs,RelativePath.cs,.cs,180,Brett V. Forsgren,Jon Sequeira,Brett V. Forsgren,1,,,1,0,0
530,530,src,,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\RelativePathExtensions.cs,RelativePathExtensions.cs,.cs,49,Brett V. Forsgren,Jon Sequeira,Brett V. Forsgren,1,,,1,0,0
