,fullpath,root,project,path,area,relative_path,filename,ext,lines
1007,C:/Dev/Interactive/src/./KernelSupportsNugetExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.PackageManagement,src\Microsoft.DotNet.Interactive.PackageManagement\KernelSupportsNugetExtensions.cs,KernelSupportsNugetExtensions.cs,.cs,233
794,C:/Dev/Interactive/src/./TabularDataFormatterTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\TabularDataFormatterTests.cs,TabularDataFormatterTests.cs,.cs,233
593,C:/Dev/Interactive/src/./InstrumentationSyntaxVisitorTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\Instrumentation\InstrumentationSyntaxVisitorTests.cs,InstrumentationSyntaxVisitorTests.cs,.cs,232
898,C:/Dev/Interactive/src/./KernelExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Jupyter,src\Microsoft.DotNet.Interactive.Jupyter\KernelExtensions.cs,KernelExtensions.cs,.cs,230
632,C:/Dev/Interactive/src/./CodeSubmission.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Documents,src\Microsoft.DotNet.Interactive.Documents\CodeSubmission.cs,CodeSubmission.cs,.cs,228
866,C:/Dev/Interactive/src/./ChallengeTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Journey.Tests,src\Microsoft.DotNet.Interactive.Journey.Tests\ChallengeTests.cs,ChallengeTests.cs,.cs,227
1110,C:/Dev/Interactive/src/./SignatureHelpTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\LanguageServices\SignatureHelpTests.cs,SignatureHelpTests.cs,.cs,223
319,C:/Dev/Interactive/src/./PolyglotSyntaxParser.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\Parsing\PolyglotSyntaxParser.cs,PolyglotSyntaxParser.cs,.cs,223
977,C:/Dev/Interactive/src/./JupyterMessageContractTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Jupyter.Tests,src\Microsoft.DotNet.Interactive.Jupyter.Tests\JupyterMessageContractTests.cs,JupyterMessageContractTests.cs,.cs,222
775,C:/Dev/Interactive/src/./CsvFormatterTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\CsvFormatterTests.cs,CsvFormatterTests.cs,.cs,222
164,C:/Dev/Interactive/src/./StdIoKernelConnectorTests.cs,C:/Dev/Interactive/,src,.,dotnet-interactive.Tests,src\dotnet-interactive.Tests\StdIoKernelConnectorTests.cs,StdIoKernelConnectorTests.cs,.cs,220
550,C:/Dev/Interactive/src/./PackageExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Servers\Roslyn\PackageExtensions.cs,PackageExtensions.cs,.cs,218
1131,C:/Dev/Interactive/src/./MultiplexingTextWriterTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\Utility\MultiplexingTextWriterTests.cs,MultiplexingTextWriterTests.cs,.cs,218
853,C:/Dev/Interactive/src/./KernelExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Journey,src\Microsoft.DotNet.Interactive.Journey\KernelExtensions.cs,KernelExtensions.cs,.cs,217
686,C:/Dev/Interactive/src/./InspectExtension.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.ExtensionLab,src\Microsoft.DotNet.Interactive.ExtensionLab\InspectExtension.cs,InspectExtension.cs,.cs,217
683,C:/Dev/Interactive/src/./DataFrameKernelExtension.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.ExtensionLab,src\Microsoft.DotNet.Interactive.ExtensionLab\DataFrameKernelExtension.cs,DataFrameKernelExtension.cs,.cs,217
471,C:/Dev/Interactive/src/./DocumentationComment.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Models\DocumentationComment.cs,DocumentationComment.cs,.cs,216
1070,C:/Dev/Interactive/src/./CommandRoutingSlipTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\CommandRoutingSlipTests.cs,CommandRoutingSlipTests.cs,.cs,212
1072,C:/Dev/Interactive/src/./ConnectDirectiveTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\ConnectDirectiveTests.cs,ConnectDirectiveTests.cs,.cs,210
712,C:/Dev/Interactive/src/./DataFrameTypeGeneratorTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.ExtensionLab.Tests,src\Microsoft.DotNet.Interactive.ExtensionLab.Tests\DataFrameTypeGeneratorTests.cs,DataFrameTypeGeneratorTests.cs,.cs,209
586,C:/Dev/Interactive/src/./InMemoryDirectoryAccessor.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\InMemoryDirectoryAccessor.cs,InMemoryDirectoryAccessor.cs,.cs,207
48,C:/Dev/Interactive/eng/./pipeline-logging-functions.sh,C:/Dev/Interactive/,eng,.,common,eng\common\pipeline-logging-functions.sh,pipeline-logging-functions.sh,.sh,206
288,C:/Dev/Interactive/src/./KernelHost.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\KernelHost.cs,KernelHost.cs,.cs,206
595,C:/Dev/Interactive/src/./Sources.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\Instrumentation\Sources.cs,Sources.cs,.cs,206
958,C:/Dev/Interactive/src/./Shell.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Jupyter,src\Microsoft.DotNet.Interactive.Jupyter\Shell.cs,Shell.cs,.cs,206
373,C:/Dev/Interactive/src/./AspNetCoreTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.AspNetCore.Tests,src\Microsoft.DotNet.Interactive.AspNetCore.Tests\AspNetCoreTests.cs,AspNetCoreTests.cs,.cs,206
1019,C:/Dev/Interactive/src/./PSKernelHostUserInterface.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.PowerShell,src\Microsoft.DotNet.Interactive.PowerShell\Host\PSKernelHostUserInterface.cs,PSKernelHostUserInterface.cs,.cs,206
442,C:/Dev/Interactive/src/./AnnotatedCodeBlock.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Markdown\AnnotatedCodeBlock.cs,AnnotatedCodeBlock.cs,.cs,202
