,fullpath,root,project,path,area,relative_path,filename,ext,lines
1030,C:/Dev/Interactive/src/./NullableAttributes.cs,C:/Dev/Interactive/,src,.,Microsoft.Dotnet.Interactive.Shared,src\Microsoft.Dotnet.Interactive.Shared\NullableAttributes.cs,NullableAttributes.cs,.cs,145
141,C:/Dev/Interactive/src/./Program.cs,C:/Dev/Interactive/,src,.,dotnet-interactive,src\dotnet-interactive\Program.cs,Program.cs,.cs,145
45,C:/Dev/Interactive/eng/./init-compiler.sh,C:/Dev/Interactive/,eng,.,common,eng\common\native\init-compiler.sh,init-compiler.sh,.sh,144
1082,C:/Dev/Interactive/src/./EventRoutingSlipTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\EventRoutingSlipTests.cs,EventRoutingSlipTests.cs,.cs,144
26,C:/Dev/Interactive/docs/./variable-sharing.md,C:/Dev/Interactive/,docs,.,Root,docs\variable-sharing.md,variable-sharing.md,.md,142
1095,C:/Dev/Interactive/src/./KernelTests.SubmissionCount.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\KernelTests.SubmissionCount.cs,KernelTests.SubmissionCount.cs,.cs,141
532,C:/Dev/Interactive/src/./CompilationUtility.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Servers\Roslyn\CompilationUtility.cs,CompilationUtility.cs,.cs,141
42,C:/Dev/Interactive/eng/./internal-feed-operations.sh,C:/Dev/Interactive/,eng,.,common,eng\common\internal-feed-operations.sh,internal-feed-operations.sh,.sh,141
77,C:/Dev/Interactive/samples/./Displaying-output.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\csharp\Docs\Displaying-output.ipynb,Displaying-output.ipynb,.ipynb,140
732,C:/Dev/Interactive/src/./HtmlAttributesExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\HtmlAttributesExtensions.cs,HtmlAttributesExtensions.cs,.cs,140
685,C:/Dev/Interactive/src/./ExplainCSharpCode.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.ExtensionLab,src\Microsoft.DotNet.Interactive.ExtensionLab\ExplainCSharpCode.cs,ExplainCSharpCode.cs,.cs,140
1157,C:/Dev/Interactive/src/./buildSemanticTokenScopes.js,C:/Dev/Interactive/,src,.,polyglot-notebooks-vscode-insiders,src\polyglot-notebooks-vscode-insiders\tools\buildSemanticTokenScopes.js,buildSemanticTokenScopes.js,.js,139
983,C:/Dev/Interactive/src/./MagicCommandTests.who_and_whos.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Jupyter.Tests,src\Microsoft.DotNet.Interactive.Jupyter.Tests\MagicCommandTests.who_and_whos.cs,MagicCommandTests.who_and_whos.cs,.cs,138
1085,C:/Dev/Interactive/src/./InputsWithinMagicCommandsTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\InputsWithinMagicCommandsTests.cs,InputsWithinMagicCommandsTests.cs,.cs,138
391,C:/Dev/Interactive/src/./DocumentationConverter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharp,src\Microsoft.DotNet.Interactive.CSharp\SignatureHelp\DocumentationConverter.cs,DocumentationConverter.cs,.cs,137
776,C:/Dev/Interactive/src/./DictionaryTypes.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\DictionaryTypes.cs,DictionaryTypes.cs,.cs,137
613,C:/Dev/Interactive/src/./RunResultTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\RunResultTests.cs,RunResultTests.cs,.cs,136
715,C:/Dev/Interactive/src/./SQLiteConnectionTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.ExtensionLab.Tests,src\Microsoft.DotNet.Interactive.ExtensionLab.Tests\SQLiteConnectionTests.cs,SQLiteConnectionTests.cs,.cs,135
55,C:/Dev/Interactive//./INTERNAL.md,C:/Dev/Interactive/,,.,Root,INTERNAL.md,INTERNAL.md,.md,135
408,C:/Dev/Interactive/src/./BufferInliningTransformer.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\BufferInliningTransformer.cs,BufferInliningTransformer.cs,.cs,134
158,C:/Dev/Interactive/src/./JupyterKernelSpecTests.cs,C:/Dev/Interactive/,src,.,dotnet-interactive.Tests,src\dotnet-interactive.Tests\JupyterKernelSpecTests.cs,JupyterKernelSpecTests.cs,.cs,134
482,C:/Dev/Interactive/src/./CommandLineProject.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\CommandLineProject.cs,CommandLineProject.cs,.cs,131
36,C:/Dev/Interactive/eng/./build-android-rootfs.sh,C:/Dev/Interactive/,eng,.,common,eng\common\cross\build-android-rootfs.sh,build-android-rootfs.sh,.sh,131
594,C:/Dev/Interactive/src/./RewriterVariableLocationTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\Instrumentation\RewriterVariableLocationTests.cs,RewriterVariableLocationTests.cs,.cs,131
512,C:/Dev/Interactive/src/./RebuildablePackage.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\RebuildablePackage.cs,RebuildablePackage.cs,.cs,131
380,C:/Dev/Interactive/src/./JavaScriptKernelTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Browser.Tests,src\Microsoft.DotNet.Interactive.Browser.Tests\JavaScriptKernelTests.cs,JavaScriptKernelTests.cs,.cs,131
1147,C:/Dev/Interactive/src/./style.css,C:/Dev/Interactive/,src,.,polyglot-notebooks-ui-components,src\polyglot-notebooks-ui-components\src\style.css,style.css,.css,130
791,C:/Dev/Interactive/src/./PlainTextSummaryFormatterTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\PlainTextSummaryFormatterTests.cs,PlainTextSummaryFormatterTests.cs,.cs,130
363,C:/Dev/Interactive/src/./ApiCompatibilityTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.ApiCompatibility.Tests,src\Microsoft.DotNet.Interactive.ApiCompatibility.Tests\ApiCompatibilityTests.cs,ApiCompatibilityTests.cs,.cs,130
89,C:/Dev/Interactive/samples/./Importing-packages.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\fsharp\Docs\Importing-packages.ipynb,Importing-packages.ipynb,.ipynb,129
163,C:/Dev/Interactive/src/./StdioConnectionTests.cs,C:/Dev/Interactive/,src,.,dotnet-interactive.Tests,src\dotnet-interactive.Tests\StdioConnectionTests.cs,StdioConnectionTests.cs,.cs,128
721,C:/Dev/Interactive/src/./CsvFormatter{T}.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\Csv\CsvFormatter{T}.cs,CsvFormatter{T}.cs,.cs,127
752,C:/Dev/Interactive/src/./PlainTextFormatter{T}.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\PlainTextFormatter{T}.cs,PlainTextFormatter{T}.cs,.cs,126
291,C:/Dev/Interactive/src/./KernelInvocationContextExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\KernelInvocationContextExtensions.cs,KernelInvocationContextExtensions.cs,.cs,126
481,C:/Dev/Interactive/src/./BlazorPackageInitializer.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\BlazorPackageInitializer.cs,BlazorPackageInitializer.cs,.cs,126
736,C:/Dev/Interactive/src/./HttpResponseMessageFormattingExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\HttpResponseMessageFormattingExtensions.cs,HttpResponseMessageFormattingExtensions.cs,.cs,126
779,C:/Dev/Interactive/src/./FormatterTests.FormatterSources.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\FormatterTests.FormatterSources.cs,FormatterTests.FormatterSources.cs,.cs,125
59,C:/Dev/Interactive/samples/./App.xaml.cs,C:/Dev/Interactive/,samples,.,connect-wpf,samples\connect-wpf\App.xaml.cs,App.xaml.cs,.cs,125
370,C:/Dev/Interactive/src/./InteractiveLoggerProvider.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\InteractiveLoggerProvider.cs,InteractiveLoggerProvider.cs,.cs,125
871,C:/Dev/Interactive/src/./TeacherValidationTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Journey.Tests,src\Microsoft.DotNet.Interactive.Journey.Tests\TeacherValidationTests.cs,TeacherValidationTests.cs,.cs,122
877,C:/Dev/Interactive/src/./WorkflowTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Journey.Tests,src\Microsoft.DotNet.Interactive.Journey.Tests\WorkflowTests.cs,WorkflowTests.cs,.cs,122
1023,C:/Dev/Interactive/src/./VTColorUtils.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.PowerShell,src\Microsoft.DotNet.Interactive.PowerShell\Host\VTColorUtils.cs,VTColorUtils.cs,.cs,122
80,C:/Dev/Interactive/samples/./Importing-packages.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\csharp\Docs\Importing-packages.ipynb,Importing-packages.ipynb,.ipynb,120
289,C:/Dev/Interactive/src/./KernelInfo.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\KernelInfo.cs,KernelInfo.cs,.cs,120
508,C:/Dev/Interactive/src/./PipelineStep.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\PipelineStep.cs,PipelineStep.cs,.cs,120
663,C:/Dev/Interactive/src/./NotebookParserServer.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Documents,src\Microsoft.DotNet.Interactive.Documents\ParserServer\NotebookParserServer.cs,NotebookParserServer.cs,.cs,120
607,C:/Dev/Interactive/src/./RenderingTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\RenderingTests.cs,RenderingTests.cs,.cs,120
650,C:/Dev/Interactive/src/./Notebook.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Documents,src\Microsoft.DotNet.Interactive.Documents\Jupyter\Notebook.cs,Notebook.cs,.cs,120
788,C:/Dev/Interactive/src/./PlainTextFormatterTests.Defaults.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\PlainTextFormatterTests.Defaults.cs,PlainTextFormatterTests.Defaults.cs,.cs,119
406,C:/Dev/Interactive/src/./BufferId.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\BufferId.cs,BufferId.cs,.cs,119
275,C:/Dev/Interactive/src/./Kernel.Static.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\Kernel.Static.cs,Kernel.Static.cs,.cs,118
660,C:/Dev/Interactive/src/./NotebookParseRequestConverter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Documents,src\Microsoft.DotNet.Interactive.Documents\ParserServer\NotebookParseRequestConverter.cs,NotebookParseRequestConverter.cs,.cs,118
486,C:/Dev/Interactive/src/./FileInfoExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\FileInfoExtensions.cs,FileInfoExtensions.cs,.cs,118
604,C:/Dev/Interactive/src/./RebuildablePackageTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\RebuildablePackageTests.cs,RebuildablePackageTests.cs,.cs,117
652,C:/Dev/Interactive/src/./KernelInfoCollection.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Documents,src\Microsoft.DotNet.Interactive.Documents\KernelInfoCollection.cs,KernelInfoCollection.cs,.cs,117
980,C:/Dev/Interactive/src/./MagicCommandTests.lsmagic.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Jupyter.Tests,src\Microsoft.DotNet.Interactive.Jupyter.Tests\MagicCommandTests.lsmagic.cs,MagicCommandTests.lsmagic.cs,.cs,117
47,C:/Dev/Interactive/eng/./install-cmake.sh,C:/Dev/Interactive/,eng,.,common,eng\common\native\install-cmake.sh,install-cmake.sh,.sh,117
46,C:/Dev/Interactive/eng/./install-cmake-test.sh,C:/Dev/Interactive/,eng,.,common,eng\common\native\install-cmake-test.sh,install-cmake-test.sh,.sh,117
783,C:/Dev/Interactive/src/./HtmlFormatterTests.Json.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\HtmlFormatterTests.Json.cs,HtmlFormatterTests.Json.cs,.cs,116
498,C:/Dev/Interactive/src/./PackageBase.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\PackageBase.cs,PackageBase.cs,.cs,116
600,C:/Dev/Interactive/src/./PackageTests2.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\PackageTests2.cs,PackageTests2.cs,.cs,116
365,C:/Dev/Interactive/src/./AspNetCoreCSharpKernelExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\AspNetCoreCSharpKernelExtensions.cs,AspNetCoreCSharpKernelExtensions.cs,.cs,115
440,C:/Dev/Interactive/src/./CompletionExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\LanguageServices\CompletionExtensions.cs,CompletionExtensions.cs,.cs,115
589,C:/Dev/Interactive/src/./InstrumentationEmitterTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\Instrumentation\InstrumentationEmitterTests.cs,InstrumentationEmitterTests.cs,.cs,114
1001,C:/Dev/Interactive/src/./MermaidMarkdownFormatter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Mermaid,src\Microsoft.DotNet.Interactive.Mermaid\MermaidMarkdownFormatter.cs,MermaidMarkdownFormatter.cs,.cs,114
11,C:/Dev/Interactive/docs/./extending-dotnet-interactive.md,C:/Dev/Interactive/,docs,.,Root,docs\extending-dotnet-interactive.md,extending-dotnet-interactive.md,.md,114
1024,C:/Dev/Interactive/src/./PowerShellExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.PowerShell,src\Microsoft.DotNet.Interactive.PowerShell\PowerShellExtensions.cs,PowerShellExtensions.cs,.cs,114
824,C:/Dev/Interactive/src/./HttpApiBootstrapper.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Http,src\Microsoft.DotNet.Interactive.Http\HttpApiBootstrapper.cs,HttpApiBootstrapper.cs,.cs,114
947,C:/Dev/Interactive/src/./Message.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Jupyter,src\Microsoft.DotNet.Interactive.Jupyter\Protocol\Message.cs,Message.cs,.cs,112
823,C:/Dev/Interactive/src/./HtmlNotebookFrontendEnvironment.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Http,src\Microsoft.DotNet.Interactive.Http\HtmlNotebookFrontendEnvironment.cs,HtmlNotebookFrontendEnvironment.cs,.cs,112
276,C:/Dev/Interactive/src/./KernelCollection.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\KernelCollection.cs,KernelCollection.cs,.cs,111
1063,C:/Dev/Interactive/src/./TelemetryCommonProperties.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Telemetry,src\Microsoft.DotNet.Interactive.Telemetry\TelemetryCommonProperties.cs,TelemetryCommonProperties.cs,.cs,111
801,C:/Dev/Interactive/src/./InteractiveDirectives.fs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.FSharp,src\Microsoft.DotNet.Interactive.FSharp\FsAutoComplete\InteractiveDirectives.fs,InteractiveDirectives.fs,.fs,110
846,C:/Dev/Interactive/src/./Challenge.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Journey,src\Microsoft.DotNet.Interactive.Journey\Challenge.cs,Challenge.cs,.cs,110
1139,C:/Dev/Interactive/src/./VariableSharingWithinMagicCommandsTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\VariableSharingWithinMagicCommandsTests.cs,VariableSharingWithinMagicCommandsTests.cs,.cs,110
817,C:/Dev/Interactive/src/./AspNetExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Http,src\Microsoft.DotNet.Interactive.Http\AspNetExtensions.cs,AspNetExtensions.cs,.cs,110
1028,C:/Dev/Interactive/src/./DictionaryExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.Dotnet.Interactive.Shared,src\Microsoft.Dotnet.Interactive.Shared\DictionaryExtensions.cs,DictionaryExtensions.cs,.cs,109
702,C:/Dev/Interactive/src/./PdbDebugInfoProvider.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.ExtensionLab,src\Microsoft.DotNet.Interactive.ExtensionLab\Inspector\PdbDebugInfoProvider.cs,PdbDebugInfoProvider.cs,.cs,108
544,C:/Dev/Interactive/src/./InstrumentedOutputExtractor.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Servers\Roslyn\Instrumentation\InstrumentedOutputExtractor.cs,InstrumentedOutputExtractor.cs,.cs,108
1035,C:/Dev/Interactive/src/./MsSqlKernel.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.SqlServer,src\Microsoft.DotNet.Interactive.SqlServer\MsSqlKernel.cs,MsSqlKernel.cs,.cs,108
863,C:/Dev/Interactive/src/./RuleEvaluation.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Journey,src\Microsoft.DotNet.Interactive.Journey\RuleEvaluation.cs,RuleEvaluation.cs,.cs,108
75,C:/Dev/Interactive/samples/./SampleExtensions.sln,C:/Dev/Interactive/,samples,.,extensions,samples\extensions\SampleExtensions.sln,SampleExtensions.sln,.sln,107
322,C:/Dev/Interactive/src/./SyntaxNode.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\Parsing\SyntaxNode.cs,SyntaxNode.cs,.cs,106
520,C:/Dev/Interactive/src/./RelativeFilePath.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\RelativeFilePath.cs,RelativeFilePath.cs,.cs,106
1020,C:/Dev/Interactive/src/./PSKernelHostUserInterfaceProgress.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.PowerShell,src\Microsoft.DotNet.Interactive.PowerShell\Host\PSKernelHostUserInterfaceProgress.cs,PSKernelHostUserInterfaceProgress.cs,.cs,106
356,C:/Dev/Interactive/src/./SourceUtilities.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\Utility\SourceUtilities.cs,SourceUtilities.cs,.cs,105
16,C:/Dev/Interactive/docs/./javascript-overview.md,C:/Dev/Interactive/,docs,.,Root,docs\javascript-overview.md,javascript-overview.md,.md,105
474,C:/Dev/Interactive/src/./WorkspaceExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Models\Execution\WorkspaceExtensions.cs,WorkspaceExtensions.cs,.cs,105
724,C:/Dev/Interactive/src/./Destructurer{T}.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\Destructurer{T}.cs,Destructurer{T}.cs,.cs,105
869,C:/Dev/Interactive/src/./OutputEvaluationTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Journey.Tests,src\Microsoft.DotNet.Interactive.Journey.Tests\OutputEvaluationTests.cs,OutputEvaluationTests.cs,.cs,105
270,C:/Dev/Interactive/src/./InstallPackagesMessage.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\InstallPackagesMessage.cs,InstallPackagesMessage.cs,.cs,104
539,C:/Dev/Interactive/src/./InstrumentationEmitter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Servers\Roslyn\Instrumentation\InstrumentationEmitter.cs,InstrumentationEmitter.cs,.cs,102
1042,C:/Dev/Interactive/src/./Utils.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.SqlServer,src\Microsoft.DotNet.Interactive.SqlServer\Utils.cs,Utils.cs,.cs,102
722,C:/Dev/Interactive/src/./DataDictionaryConverter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\DataDictionaryConverter.cs,DataDictionaryConverter.cs,.cs,102
222,C:/Dev/Interactive/src/./DataDictionaryConverter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\DataDictionaryConverter.cs,DataDictionaryConverter.cs,.cs,102
574,C:/Dev/Interactive/src/./BufferIdTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\BufferIdTests.cs,BufferIdTests.cs,.cs,101
90,C:/Dev/Interactive/samples/./Math-and-LaTeX.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\fsharp\Docs\Math-and-LaTeX.ipynb,Math-and-LaTeX.ipynb,.ipynb,101
1079,C:/Dev/Interactive/src/./TokenTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\Connection\TokenTests.cs,TokenTests.cs,.cs,101
753,C:/Dev/Interactive/src/./PlainTextSummaryFormatter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\PlainTextSummaryFormatter.cs,PlainTextSummaryFormatter.cs,.cs,101
577,C:/Dev/Interactive/src/./CodeMergeTransformerTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\CodeMergeTransformerTests.cs,CodeMergeTransformerTests.cs,.cs,101
606,C:/Dev/Interactive/src/./RelativeFilePathTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\RelativeFilePathTests.cs,RelativeFilePathTests.cs,.cs,100
588,C:/Dev/Interactive/src/./CodeRewritingTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\Instrumentation\CodeRewritingTests.cs,CodeRewritingTests.cs,.cs,99
15,C:/Dev/Interactive/docs/./input-prompts.md,C:/Dev/Interactive/,docs,.,Root,docs\input-prompts.md,input-prompts.md,.md,98
680,C:/Dev/Interactive/src/./NotebookParserServerTests_Serialization.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Documents.Tests,src\Microsoft.DotNet.Interactive.Documents.Tests\NotebookParserServerTests_Serialization.cs,NotebookParserServerTests_Serialization.cs,.cs,97
1103,C:/Dev/Interactive/src/./LanguageKernelScriptReferenceTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\LanguageKernelScriptReferenceTests.cs,LanguageKernelScriptReferenceTests.cs,.cs,97
1109,C:/Dev/Interactive/src/./LanguageServiceAssertionExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\LanguageServices\LanguageServiceAssertionExtensions.cs,LanguageServiceAssertionExtensions.cs,.cs,97
716,C:/Dev/Interactive/src/./SQLiteKernelExtensionTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.ExtensionLab.Tests,src\Microsoft.DotNet.Interactive.ExtensionLab.Tests\SQLiteKernelExtensionTests.cs,SQLiteKernelExtensionTests.cs,.cs,97
978,C:/Dev/Interactive/src/./JupyterRequestHandlerTestBase{T}.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Jupyter.Tests,src\Microsoft.DotNet.Interactive.Jupyter.Tests\JupyterRequestHandlerTestBase{T}.cs,JupyterRequestHandlerTestBase{T}.cs,.cs,96
780,C:/Dev/Interactive/src/./FormatterTests.MimeTypeSettings.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\FormatterTests.MimeTypeSettings.cs,FormatterTests.MimeTypeSettings.cs,.cs,96
134,C:/Dev/Interactive/src/./JupyterInstallCommand.cs,C:/Dev/Interactive/,src,.,dotnet-interactive,src\dotnet-interactive\JupyterInstallCommand.cs,JupyterInstallCommand.cs,.cs,95
496,C:/Dev/Interactive/src/./Package2.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\Package2.cs,Package2.cs,.cs,95
151,C:/Dev/Interactive/src/./FormatterConfigurationTests.cs,C:/Dev/Interactive/,src,.,dotnet-interactive.Tests,src\dotnet-interactive.Tests\FormatterConfigurationTests.cs,FormatterConfigurationTests.cs,.cs,94
155,C:/Dev/Interactive/src/./JupyterInstallCommandTests.cs,C:/Dev/Interactive/,src,.,dotnet-interactive.Tests,src\dotnet-interactive.Tests\JupyterInstallCommandTests.cs,JupyterInstallCommandTests.cs,.cs,94
